Uuid,Void/Retire,Frequency per day,Concept frequency,_version:1,_order:7001
1e82729a-b37e-4923-b0a9-08c03f415a3d,,1,160864AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,
e9f0606f-c107-404e-9af2-ee1bc942d0e4,,1,160865AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,
4414534a-9ae4-4f74-9b07-2e0bb42e2cea,,1,160863AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,
7955706c-503c-40d9-8448-2ff868aeeef8,,2,160859AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,
e2464180-f155-44bd-9efd-ecf4bf9e453b,,2,160861AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,
dfb2b972-2fc7-4ac7-a4b4-906028541034,,3,160867AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,
1c94a10c-9b88-440f-92b0-3315668196a6,,3,160869AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,
6a6c32b0-bbb3-4a3f-8c49-c3e04aff15de,,4,160870AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,
92e5376f-65e3-4484-b310-527a08057dd5,,4,160871AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,
4a3041d2-3c19-428d-b245-aff81b4534a1,,4,160872AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,
3550e6f5-c36e-4300-9912-e5b9fc1cdd1f,,48,162243AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,
7fc432e1-4fd1-4c95-8018-84e144369b86,,1,5d1247d8-4413-4aae-b16b-795114d41edc,,
51e27ac9-7af6-4def-b250-e89792161407,,0.0055,75edc01e-bcf8-4d94-9fc8-6b70d4c460fe,,
a24261b0-74f8-4cd3-b668-704254674237,,0.033,89a51e59-370a-4fac-8f0b-481a9ecd3fd6,,
4946c3b7-32c0-476f-8e4b-7b551b1b40c6,,1,b08cc310-45a6-4b0d-b905-42f5b278e2fc,,
92fbe0a0-2cd7-4dcc-a5b7-4ce00de25b6d,,0.5,ce55a783-9b1c-4dc5-8e60-438bbe6597b1,,
cf975038-cb3e-4846-a60a-291023b1c39c,,6,3e80d742-9857-455b-ad4d-e530d8a89563,,
e9326adc-56af-45c9-a4a8-3552ab9f8831,,0.5,53a37b22-d545-46e1-9e22-eccdfbc60434,,
1a39e6b9-e20e-40fa-8794-0220511ed69f,,0.29,85be762e-d28e-4eb8-964b-b88d3b5dfef0,,
